,pr_median_moe,cont_median_moe,ratio
poverty_rate,0.6519653829146843,0.4652766875401314,1.4012423153232891
vacancy_rate,0.5461403201397375,0.48585697753280377,1.1240763133897023
childhood_poverty_rate,0.8899069572732771,0.8047836799746703,1.1057716246200295
homeownership_rate,0.42888028406784107,0.4561084041320064,0.9403034019599319
gini_index,0.6122978777249635,0.6637995683747269,0.9224137931034481
labor_force_participation_rate,0.7102897507099584,0.7712929157146484,0.920907914798923
median_gross_rent,0.1328665894608681,0.185395241108188,0.7166666666666669
rent_burden_rate,0.7723928539965594,1.170952184386882,0.6596280055628311
median_household_income,0.1523578284264391,0.2600093122300992,0.5859706605108348
youth_unemployment_rate,,,
hs_or_higher_rate,,,
bachelors_or_higher_rate,,,
